,driver_id,driver_modal,delivery_distance_meters
0,25651,MOTOBOY,33531568.0
1,26223,MOTOBOY,17549561.0
2,7615,MOTOBOY,3239427.0
3,7549,MOTOBOY,2761644.0
4,9806,MOTOBOY,2757244.0
5,4737,MOTOBOY,2742996.0
6,11522,MOTOBOY,2613932.0
7,32109,MOTOBOY,2551168.0
8,902,MOTOBOY,2477290.0
9,24584,MOTOBOY,2422352.0
10,21923,MOTOBOY,2405405.0
11,7799,MOTOBOY,2379044.0
12,34207,MOTOBOY,2366125.0
13,20495,MOTOBOY,2360047.0
14,5527,MOTOBOY,2317327.0
15,15561,MOTOBOY,2296883.0
16,17749,MOTOBOY,2296131.0
17,32130,MOTOBOY,2294530.0
18,41924,MOTOBOY,2284180.0
19,11063,MOTOBOY,2226761.0
20,627,MOTOBOY,2211274.0
21,598,MOTOBOY,2197832.0
22,17457,MOTOBOY,2184901.0
23,26343,MOTOBOY,2151323.0
24,15834,MOTOBOY,2125447.0
25,32241,MOTOBOY,2109306.0
26,26536,MOTOBOY,2069965.0
27,10614,MOTOBOY,2020648.0
28,464,MOTOBOY,2001387.0
29,17284,MOTOBOY,1983778.0
30,24728,MOTOBOY,1970008.0
31,30449,MOTOBOY,1969894.0
32,39779,MOTOBOY,1928600.0
33,2354,MOTOBOY,1904961.0
34,38926,MOTOBOY,1860080.0
35,29865,MOTOBOY,1839807.0
36,2156,MOTOBOY,1833555.0
37,7480,MOTOBOY,1821963.0
38,23842,MOTOBOY,1819487.0
39,17035,MOTOBOY,1805367.0
40,5403,MOTOBOY,1786087.0
41,14805,MOTOBOY,1750339.0
42,5171,MOTOBOY,1746935.0
43,24326,MOTOBOY,1744426.0
44,39789,MOTOBOY,1741919.0
45,10927,MOTOBOY,1736583.0
46,4692,MOTOBOY,1732574.0
47,357,MOTOBOY,1706497.0
48,758,MOTOBOY,1702432.0
49,27050,MOTOBOY,1696342.0
50,20248,MOTOBOY,1696313.0
51,15086,MOTOBOY,1687507.0
52,14509,MOTOBOY,1683380.0
53,975,MOTOBOY,1679653.0
54,9043,MOTOBOY,1679094.0
55,7033,MOTOBOY,1669152.0
56,1251,MOTOBOY,1633896.0
57,526,MOTOBOY,1624494.0
58,10292,MOTOBOY,1621074.0
59,3863,MOTOBOY,1614491.0
60,367,MOTOBOY,1599315.0
61,28565,MOTOBOY,1599023.0
62,713,MOTOBOY,1595266.0
63,13074,MOTOBOY,1591682.0
64,2561,MOTOBOY,1582912.0
65,9509,MOTOBOY,1582637.0
66,16575,MOTOBOY,1575904.0
67,7451,MOTOBOY,1573304.0
68,10682,MOTOBOY,1565811.0
69,11171,MOTOBOY,1560537.0
70,14433,MOTOBOY,1545884.0
71,11930,MOTOBOY,1542780.0
72,28910,MOTOBOY,1542278.0
73,8182,MOTOBOY,1527701.0
74,28598,MOTOBOY,1525323.0
75,33044,MOTOBOY,1525031.0
76,35254,MOTOBOY,1522388.0
77,12346,MOTOBOY,1509271.0
78,25592,MOTOBOY,1508656.0
79,18715,MOTOBOY,1506536.0
80,31999,MOTOBOY,1491158.0
81,6646,MOTOBOY,1487497.0
82,10636,MOTOBOY,1478540.0
83,10200,MOTOBOY,1475751.0
84,140,MOTOBOY,1474706.0
85,25989,MOTOBOY,1465514.0
86,7235,MOTOBOY,1463222.0
87,22423,MOTOBOY,1456414.0
88,3358,MOTOBOY,1454641.0
89,20500,MOTOBOY,1436400.0
90,36504,MOTOBOY,1435116.0
91,2337,MOTOBOY,1431966.0
92,6952,MOTOBOY,1430268.0
93,5128,MOTOBOY,1429677.0
94,18904,MOTOBOY,1427462.0
95,31639,MOTOBOY,1426699.0
96,7798,MOTOBOY,1421261.0
97,5349,MOTOBOY,1413510.0
98,7456,MOTOBOY,1399752.0
99,14136,MOTOBOY,1391881.0
100,38412,MOTOBOY,1385705.0
101,7385,MOTOBOY,1385116.0
102,18178,MOTOBOY,1381440.0
103,22198,MOTOBOY,1373102.0
104,26511,MOTOBOY,1370311.0
105,46242,MOTOBOY,1366985.0
106,639,MOTOBOY,1362105.0
107,9025,MOTOBOY,1359807.0
108,148,MOTOBOY,1356601.0
109,9317,MOTOBOY,1351250.0
110,28480,MOTOBOY,1347745.0
111,366,MOTOBOY,1340464.0
112,41941,MOTOBOY,1329748.0
113,15231,MOTOBOY,1321874.0
114,2726,MOTOBOY,1321819.0
115,1377,MOTOBOY,1320541.0
116,17322,MOTOBOY,1309690.0
117,47210,MOTOBOY,1305707.0
118,34591,MOTOBOY,1297730.0
119,8133,MOTOBOY,1295919.0
120,11084,MOTOBOY,1291493.0
121,7716,MOTOBOY,1288389.0
122,6252,MOTOBOY,1288037.0
123,7930,MOTOBOY,1284707.0
124,8378,MOTOBOY,1282936.0
125,26274,MOTOBOY,1273383.0
126,26332,MOTOBOY,1265518.0
127,10560,MOTOBOY,1263749.0
128,26879,MOTOBOY,1255433.0
129,6657,MOTOBOY,1254150.0
130,8193,MOTOBOY,1249341.0
131,8266,MOTOBOY,1248285.0
132,11887,MOTOBOY,1247912.0
133,15050,MOTOBOY,1241962.0
134,378,MOTOBOY,1241869.0
135,46651,MOTOBOY,1241235.0
136,9222,MOTOBOY,1239861.0
137,25021,MOTOBOY,1230199.0
138,19969,MOTOBOY,1228369.0
139,36257,MOTOBOY,1214746.0
140,3625,MOTOBOY,1213362.0
141,22115,MOTOBOY,1208319.0
142,33556,MOTOBOY,1186225.0
143,15061,MOTOBOY,1185237.0
144,5037,MOTOBOY,1183272.0
145,1855,MOTOBOY,1178794.0
146,23093,MOTOBOY,1178545.0
